wavelength_nm,maximum_dimension_um,effective_diameter_um,effective_radius_um,ice_habit,surface_roughness,mass_extinction_coefficient_m2_kg,single_scattering_albedo,asymmetry_parameter,source_dataset,source_version,source_record_provenance
750,12.5,1.5263800070213602,0.7631900035106801,10_plates,Rough000,2901.2702074999634,0.99999966,0.8762,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,15.0,1.8316559606222547,0.9158279803111273,10_plates,Rough000,2574.8224735913373,0.99999999,0.8788,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,15.0,1.8316559606222547,0.9158279803111273,10_plates,Rough000,2614.4327054792634,0.999999985,0.8791,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,15.0,1.8316559606222547,0.9158279803111273,10_plates,Rough000,2642.052250254259,0.99999998,0.8797,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,15.0,1.8316559606222547,0.9158279803111273,10_plates,Rough000,2589.3584556665487,0.99999994,0.8788,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,15.0,1.8316559606222547,0.9158279803111273,10_plates,Rough000,2573.474050425993,0.99999988,0.8774,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,15.0,1.8316559606222547,0.9158279803111273,10_plates,Rough000,2504.3376021569975,0.99999971,0.8772,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
550,17.5,2.1369315782758207,1.0684657891379103,10_plates,Rough000,2172.8808781962625,0.99999999,0.8809,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
575,17.5,2.1369315782758207,1.0684657891379103,10_plates,Rough000,2221.1188490476584,0.999999985,0.8805499999999999,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,LINEAR_WAVELENGTH_INTERPOLATION_WITHIN_SOURCE_GRID:0.570000-0.580000um
600,17.5,2.1369315782758207,1.0684657891379103,10_plates,Rough000,2238.7482861088843,0.99999998,0.8799,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
650,17.5,2.1369315782758207,1.0684657891379103,10_plates,Rough000,2237.081310068719,0.99999994,0.8796,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
700,17.5,2.1369315782758207,1.0684657891379103,10_plates,Rough000,2262.963338712357,0.9999999,0.8799,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
750,17.5,2.1369315782758207,1.0684657891379103,10_plates,Rough000,2233.9651357738626,0.99999975,0.8796,TAMU_ICE_SINGLE_SCATTERING_V2,Yang2013_Bi2017_V2,EXACT_SOURCE_WAVELENGTH
